city,tag,value,cnt
北京市,app_name,美团外卖,153
北京市,app_name,喜马拉雅FM,147
北京市,app_name,快看漫画,147
北京市,app_name,MIUI天气,143
北京市,app_name,携程旅行,140
北京市,app_name,作业帮,139
北京市,app_name,西瓜视频,139
北京市,app_name,闲鱼,138
北京市,app_name,探探,132
北京市,app_name,唱吧,130
北京市,app_name,天天快报,127
北京市,app_name,内涵段子,126
北京市,app_name,工银融e联,124
北京市,app_name,百度外卖,123
北京市,app_name,百度贴吧,123
北京市,app_name,欢乐斗地主（腾讯）,119
北京市,app_name,掌阅,117
北京市,app_name,美颜相机,117
北京市,app_name,钉钉,116
北京市,app_name,讯飞输入法,113
北京市,app_name,斗鱼,111
北京市,app_name,知乎,109
北京市,app_name,陌陌,109
北京市,app_name,OPPO游戏中心,109
北京市,app_name,苏宁易购,108
北京市,app_name,QQ阅读,103
北京市,app_name,智联招聘,102
北京市,app_name,多点,102
北京市,app_name,网易邮箱大师,100
北京市,app_name,中国工商银行,96
北京市,app_name,今日头条极速版,95
北京市,app_name,小米应用商店,94
北京市,app_name,QQ同步助手,94
北京市,app_name,趣头条,93
北京市,app_name,铃声多多,93
北京市,app_name,IS语音,93
北京市,app_name,影视大全,91
北京市,app_name,360超级ROOT,90
北京市,app_name,中国建设银行,89
北京市,app_name,天天P图,89
北京市,app_name,腾讯WiFi管家,89
北京市,app_name,贪吃蛇大作战,89
北京市,app_name,搜狐视频,88
北京市,app_name,中国移动手机营业厅,87
北京市,app_name,联通手机营业厅,86
北京市,app_name,北京交警,84
北京市,app_name,一点资讯,82
北京市,app_name,秒拍,78
北京市,app_name,去哪儿旅行,77
北京市,app_name,B612咔叽,77
北京市,app_name,百度糯米,76
北京市,app_name,vivo游戏中心,75
北京市,app_name,12306智行火车票,74
北京市,app_name,OPPO社区,73
北京市,app_name,YY,72
北京市,app_name,小米视频,71
北京市,app_name,京东金融,71
北京市,app_name,映客直播,70
北京市,app_name,小蓝单车,70
北京市,app_name,360影视大全,70
北京市,app_name,360浏览器,70
北京市,app_name,汽车之家,69
北京市,app_name,招商银行,68
北京市,app_name,网易邮箱,68
北京市,app_name,穿越火线-枪战王者,66
北京市,app_name,转转,65
北京市,app_name,一直播,64
北京市,app_name,王者荣耀助手,64
北京市,app_name,美拍,64
北京市,app_name,聚美优品,64
北京市,app_name,腾讯地图,63
北京市,app_name,肯德基,61
北京市,app_name,虾米音乐,60
北京市,app_name,360清理大师,59
北京市,app_name,掌上生活,58
北京市,app_name,华为钱包,58
北京市,app_name,凤凰新闻,58
北京市,app_name,魅族应用商店,57
北京市,app_name,米家,56
北京市,app_name,JJ斗地主,56
北京市,app_name,宾果消消消,55
北京市,app_name,虎牙直播,54
北京市,app_name,飞猪,54
北京市,app_name,蜻蜓FM,53
北京市,app_name,赶集网,53
北京市,app_name,菜鸟裹裹,52
北京市,app_name,驾考宝典,51
北京市,app_name,滴滴车主,51
北京市,app_name,影音先锋,49
北京市,app_name,喜马拉雅,49
北京市,app_name,天气通,49
北京市,app_name,Boss直聘,49
北京市,app_name,悦动圈,48
北京市,app_name,买单吧,48
北京市,app_name,WiFi管家,48
北京市,app_name,车轮查违章,47
北京市,app_name,车来了,47
北京市,app_name,百度手机助手,47
北京市,app_name,MIUI音乐,47
北京市,app_name,小米游戏,45
北京市,app_name,小红书,45
北京市,app_name,书旗小说,45
北京市,app_name,派派,45
北京市,app_name,猎豹安全大师,45
北京市,app_name,金山词霸,45
北京市,app_name,当当,45
北京市,app_name,搜狐新闻,44
北京市,app_name,蘑菇街,44
北京市,app_name,Keep,44
北京市,app_name,直播吧,43
北京市,app_name,俄罗斯方块,43
北京市,app_name,小米运动,42
北京市,app_name,微信读书,42
北京市,app_name,返还购,42
北京市,app_name,腾讯欢乐麻将全集,41
北京市,app_name,农行掌上银行,41
